name,country,points
Premier League,England,103.178
LaLiga,Spain,87.864
Serie A,Italy,86.998
Bundesliga,Germany,83.624
Ligue 1,France,65.331
Eredivisie,Netherlands,61.3
Liga Portugal Betclic,Portugal,55.982
Pro League,Belgium,47.6
Trendyol SÃ¼per Lig,Turkey,38.1
Premiership,Scotland,36.05
Super League,Switzerland,32.975
Eliteserien,Norway,31.625
Stoiximan Super League,Greece,29.525
Mozzart Bet Superliga,Serbia,27.775
HNL,Croatia,25.525
1. Division,Cyprus,22.1
Parva Liga,Bulgaria,20.375
Premier Liga,Russia,18.632
PrvaLiga,Slovenia,13.25
AlbiMall Superliga,Kosovo,11.541
IDBank Premier League,Armenia,10.625
Besta deild karla,Iceland,9.583
Division Nationale,Luxembourg,8.625
Erovnuli Liga,Georgia,7.625
Vysshaya Liga,Belarus,6.625
Cymru Premier,Wales,5.791
Football League,Gibraltar,4.957
Campionato Sammarinese,San Marino,1.832
